,laeq,hour,day,day_of_month,month,weekend,LC_HUMIDITY,LC_DWPTEMP,LC_n,LC_RAD,LC_RAININ,LC_DAILYRAIN,LC_WINDDIR,LC_WINDSPEED,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3,pm25,pm10,no2,bc,o3,air_pressure,air_temperature,precipitation,relative_humidity,wind_speed,wind_direction
laeq,1.0,0.5230045645594673,-0.10647296643550266,0.020250460423876612,0.031590402995130516,-0.19139462740741509,-0.31661322726799934,0.040351163461777216,-0.007620596468008315,0.274486958225493,0.016712553532859855,0.08124480261596963,0.06963596408429958,0.15773792861621572,0.3015338515285339,0.22461269314778196,0.22461269314778196,0.22461269314778218,0.21680585688902446,-0.0030264092302966857,0.029258948986267616,0.02376173615727172,0.012887950565688413,0.002506777038596041,-0.05954303573296407,0.11447264740823619,0.014665504152246805,-0.1750544446947881,0.06032061478751855,-0.005426223730555492
hour,0.5230045645594673,1.0,-0.0005066966607649008,0.0034080088507491522,-0.0016222051444389986,-0.0005835106298652872,-0.2236317619495881,0.037635619225608145,0.0010496619458647564,-0.012161843916732888,0.02193218104407311,0.14647474072100733,0.040719440121139504,0.07069590387986653,0.03830739825522127,0.1669652969977458,0.1669652969977458,0.16696529699774565,0.1669693869592875,0.003747907202078061,0.003507852728388417,0.0037989578958496327,0.0021653227558349948,-0.003568698741029269,0.0025262969113302933,0.08442855673217924,-0.0058618238589615065,-0.1443569210683078,0.0511927447438006,-0.02959848888655977
day,-0.10647296643550266,-0.0005066966607649008,1.0,-0.0007185390197668435,0.004117778816114709,0.7904796018140837,0.024332639855153358,0.011753461392612427,-0.018225678033507692,-0.005124302415707575,-0.011279487751405809,-0.015146960322311137,0.006750572834252962,-0.0038733357050206078,-0.005359351086667483,-0.007130757040535537,-0.007130757040535537,-0.007130757040535548,-0.006918122584308729,0.05974261250368263,0.08024439144906241,0.07694202578619347,0.04354429746670615,-0.0066940504872502185,0.04825954199347746,0.0023712710774400404,0.0043957694843085255,0.004375841258619833,0.042474823431984804,0.04150298093984332
day_of_month,0.020250460423876612,0.0034080088507491522,-0.0007185390197668435,1.0,0.006373011342736187,0.007395120284183753,0.0252755754868854,0.08972002437935545,-0.010298256096810317,0.004955828695398041,0.005526684395350969,0.022701942174009886,0.019900547010560193,-0.035302277563340825,0.005382933232291243,0.058250980629455634,0.058250980629455634,0.05825098062945553,0.060055633852532826,0.03574303885610365,0.08701799527148042,-0.016592775281087154,0.003121671248577953,0.04251686853720461,-0.008878631479443164,0.04459009333283689,-0.0006101615980754555,0.053898767280650385,-0.027094043235781004,-0.05827793563885425
month,0.031590402995130516,-0.0016222051444389986,0.004117778816114709,0.006373011342736187,1.0,-0.0020848268833370278,0.19954063867224156,0.31518701095734575,-0.028385692419457726,-0.04740753668381433,0.02597019303676031,0.09947579586661014,0.032278499615622125,-0.3139107341503084,-0.048269354895351516,0.1324702318199532,0.1324702318199532,0.13247023181995277,0.13718258379530018,-0.13620576938897036,-0.16025301253040383,-0.09946486877254387,0.12551844555901767,-0.29054896523824814,-0.3200648232497122,0.22801789580917164,0.02667282706072115,0.14406417441053077,-0.04101199168374851,-0.013625106625977788
weekend,-0.19139462740741509,-0.0005835106298652872,0.7904796018140837,0.007395120284183753,-0.0020848268833370278,1.0,0.022413018774991956,-0.02309015653774938,-0.014030970549683318,-0.0031032741174412165,-0.0037300869670756735,0.0047625181883973675,0.02586499261182216,0.013793057022945126,-0.0032742098525981784,-0.033655569831602145,-0.033655569831602145,-0.03365556983160216,-0.03428305181098933,0.036461313107095765,0.009476161069954782,-0.012333771101298173,0.01472926252886224,-0.012720171801227843,0.09214890298695984,-0.018595145271532266,0.004427353324130341,-0.017660612830382755,0.04205040427172859,0.009260392672521836
LC_HUMIDITY,-0.31661322726799934,-0.2236317619495881,0.024332639855153358,0.0252755754868854,0.19954063867224156,0.022413018774991956,1.0,-0.02401036568347936,0.4236921992295653,-0.5472938717023916,0.10680014210324137,0.22248161437953748,-0.20668242417438723,-0.22755810619201616,-0.6006707370255701,-0.6320910051424375,-0.6320910051424375,-0.6320910051424375,-0.6185246632406008,0.04605930381566049,-0.14250650248732213,0.1827428002110825,0.18322416999792948,-0.5705680150585325,-0.15161963496151057,-0.4689186649244563,0.04794243461018588,0.68590516937107,0.022383529971036795,0.22495039744582113
LC_DWPTEMP,0.040351163461777216,0.037635619225608145,0.011753461392612427,0.08972002437935545,0.31518701095734575,-0.02309015653774938,-0.02401036568347936,1.0,-0.5108054216790844,0.18985850460831596,0.06076098214737535,0.13716692073720552,-0.021689352232195768,-0.1237648395646713,0.1986951403917912,0.7812585829873588,0.7812585829873588,0.7812585829873585,0.7912158725816502,-0.5020284473131751,-0.35515465196868357,-0.5243208291234326,-0.43644744058340296,0.2801542258959369,-0.18427063027544194,0.8320072833608475,0.05357047657088723,0.053176021097651745,-0.03380294828709765,0.10593053352786476
LC_n,-0.007620596468008315,0.0010496619458647564,-0.018225678033507692,-0.010298256096810317,-0.028385692419457726,-0.014030970549683318,0.4236921992295653,-0.5108054216790844,1.0,-0.35458358176897586,0.015238581676405355,0.015799321590077298,-0.146052982463717,0.06940285806673724,-0.36278842924478144,-0.6471780071063946,-0.6471780071063946,-0.6471780071063944,-0.6470789130790164,0.2658402043101818,0.11071873461440143,0.37103016225544155,0.3451556731816638,-0.4846335407316683,-0.07819173480107408,-0.67834792277881,-0.01224808053493782,0.3413538135771126,0.1631777577950701,0.08698499275146529
LC_RAD,0.274486958225493,-0.012161843916732888,-0.005124302415707575,0.004955828695398041,-0.04740753668381433,-0.0031032741174412165,-0.5472938717023916,0.18985850460831596,-0.35458358176897586,1.0,-0.03843410966839529,-0.06728316108646472,0.12842640908106082,0.19730415690569908,0.9075903151026271,0.5034619209168064,0.5034619209168064,0.5034619209168063,0.4847941779558983,-0.11160132782551484,-0.02528577200512073,-0.17717423138368427,-0.16788185405470682,0.30630572282927343,0.08648377428178942,0.39379871469529215,-0.010057060044135252,-0.3441530552819983,-0.037341712602622056,-0.009083151528652338
LC_RAININ,0.016712553532859855,0.02193218104407311,-0.011279487751405809,0.005526684395350969,0.02597019303676031,-0.0037300869670756735,0.10680014210324137,0.06076098214737535,0.015238581676405355,-0.03843410966839529,1.0,0.2481993430211882,0.006910554203668288,0.03877290633194299,-0.032570090385739915,-0.012428288548005683,-0.012428288548005683,-0.012428288548005678,-0.010719724019973833,-0.043811916757290036,-0.06424616981996213,-0.04338758473525209,-0.04125720557003894,-0.006978870683091727,-0.11402440154896348,-0.009820685085640454,0.08424131673605002,0.0777705856953216,0.05528358045960976,0.03540819465640221
LC_DAILYRAIN,0.08124480261596963,0.14647474072100733,-0.015146960322311137,0.022701942174009886,0.09947579586661014,0.0047625181883973675,0.22248161437953748,0.13716692073720552,0.015799321590077298,-0.06728316108646472,0.2481993430211882,1.0,-0.026953252866210815,0.042099411719206246,-0.06532446943956687,-0.021605694308642252,-0.021605694308642252,-0.021605694308642294,-0.016514915487671377,-0.11007851131544713,-0.1726167787412266,-0.12845008202889904,-0.11519775001029389,-0.027671420552510557,-0.2608333000935898,-0.0035255545223840993,0.06423058199714453,0.1478672729900483,0.11404716053094792,0.11217008638428816
LC_WINDDIR,0.06963596408429958,0.040719440121139504,0.006750572834252962,0.019900547010560193,0.032278499615622125,0.02586499261182216,-0.20668242417438723,-0.021689352232195768,-0.146052982463717,0.12842640908106082,0.006910554203668288,-0.026953252866210815,1.0,0.0850736438430712,0.12725137928372,0.10650415502992983,0.10650415502992983,0.10650415502992978,0.10411155726434522,0.0646727101373145,0.08648833026071277,-0.01010557077060122,-0.007156109523963305,0.08014517386039717,0.09827311957054297,0.0772209399180739,-0.0061251346017144725,-0.1350796182071118,-0.026200023924139223,-0.22513254357880935
LC_WINDSPEED,0.15773792861621572,0.07069590387986653,-0.0038733357050206078,-0.035302277563340825,-0.3139107341503084,0.013793057022945126,-0.22755810619201616,-0.1237648395646713,0.06940285806673724,0.19730415690569908,0.03877290633194299,0.042099411719206246,0.0850736438430712,1.0,0.21065627830694475,0.041364997336387065,0.041364997336387065,0.04136499733638729,0.03928344794433059,-0.11354106882397731,-0.11263853144339377,-0.19914304835785945,-0.22558179994270366,0.24332828171209525,-0.11636059267576117,-0.0459137546003199,0.027854565361865372,-0.16446465932709872,0.4326958111451057,0.025005064972675704
LC_RAD60,0.3015338515285339,0.03830739825522127,-0.005359351086667483,0.005382933232291243,-0.048269354895351516,-0.0032742098525981784,-0.6006707370255701,0.1986951403917912,-0.36278842924478144,0.9075903151026271,-0.032570090385739915,-0.06532446943956687,0.12725137928372,0.21065627830694475,1.0,0.5492920866584796,0.5492920866584796,0.5492920866584796,0.528820295121424,-0.11413525081895329,-0.02586273900406514,-0.1809013523480087,-0.17152142640391937,0.3128218050830796,0.08458666967805481,0.41409673003065445,-0.007617222679029566,-0.3701657792723345,-0.021964845889260738,-0.011731483670077775
LC_TEMP_QCL0,0.22461269314778196,0.1669652969977458,-0.007130757040535537,0.058250980629455634,0.1324702318199532,-0.033655569831602145,-0.6320910051424375,0.7812585829873588,-0.6471780071063946,0.5034619209168064,-0.012428288548005683,-0.021605694308642252,0.10650415502992983,0.041364997336387065,0.5492920866584796,1.0,1.0,1.0000000000000004,0.9992357334775185,-0.4067145039516539,-0.18058254363255163,-0.4983214131112523,-0.4331978799563153,0.5581062971039572,-0.05132084062161873,0.9345042938865196,0.01201823599616177,-0.3733386243675085,-0.04766321692058346,-0.053558564346679334
LC_TEMP_QCL1,0.22461269314778196,0.1669652969977458,-0.007130757040535537,0.058250980629455634,0.1324702318199532,-0.033655569831602145,-0.6320910051424375,0.7812585829873588,-0.6471780071063946,0.5034619209168064,-0.012428288548005683,-0.021605694308642252,0.10650415502992983,0.041364997336387065,0.5492920866584796,1.0,1.0,1.0000000000000004,0.9992357334775185,-0.4067145039516539,-0.18058254363255163,-0.4983214131112523,-0.4331978799563153,0.5581062971039572,-0.05132084062161873,0.9345042938865196,0.01201823599616177,-0.3733386243675085,-0.04766321692058346,-0.053558564346679334
LC_TEMP_QCL2,0.22461269314778218,0.16696529699774565,-0.007130757040535548,0.05825098062945553,0.13247023181995277,-0.03365556983160216,-0.6320910051424375,0.7812585829873585,-0.6471780071063944,0.5034619209168063,-0.012428288548005678,-0.021605694308642294,0.10650415502992978,0.04136499733638729,0.5492920866584796,1.0000000000000004,1.0000000000000004,1.0,0.9992357334775183,-0.40671450395165387,-0.18058254363255155,-0.4983214131112522,-0.4331978799563153,0.5581062971039575,-0.051320840621618555,0.934504293886519,0.01201823599616175,-0.3733386243675085,-0.04766321692058336,-0.05355856434667937
LC_TEMP_QCL3,0.21680585688902446,0.1669693869592875,-0.006918122584308729,0.060055633852532826,0.13718258379530018,-0.03428305181098933,-0.6185246632406008,0.7912158725816502,-0.6470789130790164,0.4847941779558983,-0.010719724019973833,-0.016514915487671377,0.10411155726434522,0.03928344794433059,0.528820295121424,0.9992357334775185,0.9992357334775185,0.9992357334775183,1.0,-0.4136822210236134,-0.1874121873730193,-0.5044259236605,-0.4382826393633834,0.5560658615199616,-0.057290233016476726,0.9376769289538635,0.013025308532276991,-0.36461706841643066,-0.043607226992318664,-0.0513644638282492
pm25,-0.0030264092302966857,0.003747907202078061,0.05974261250368263,0.03574303885610365,-0.13620576938897036,0.036461313107095765,0.04605930381566049,-0.5020284473131751,0.2658402043101818,-0.11160132782551484,-0.043811916757290036,-0.11007851131544713,0.0646727101373145,-0.11354106882397731,-0.11413525081895329,-0.4067145039516539,-0.4067145039516539,-0.40671450395165387,-0.4136822210236134,1.0,0.9283686317964978,0.750562281858947,0.7753480430816282,-0.41172879603392293,0.33383676760037523,-0.4597549384472758,-0.03786784027006992,0.12429499388372851,-0.3084676616836873,-0.2345964777499582
pm10,0.029258948986267616,0.003507852728388417,0.08024439144906241,0.08701799527148042,-0.16025301253040383,0.009476161069954782,-0.14250650248732213,-0.35515465196868357,0.11071873461440143,-0.02528577200512073,-0.06424616981996213,-0.1726167787412266,0.08648833026071277,-0.11263853144339377,-0.02586273900406514,-0.18058254363255163,-0.18058254363255163,-0.18058254363255155,-0.1874121873730193,0.9283686317964978,1.0,0.6880108593186478,0.7021173322190442,-0.20684060025283155,0.35590815572790246,-0.2390820961280024,-0.052103297680203414,-0.016164132263631864,-0.3415441312470851,-0.27202642473273175
no2,0.02376173615727172,0.0037989578958496327,0.07694202578619347,-0.016592775281087154,-0.09946486877254387,-0.012333771101298173,0.1827428002110825,-0.5243208291234326,0.37103016225544155,-0.17717423138368427,-0.04338758473525209,-0.12845008202889904,-0.01010557077060122,-0.19914304835785945,-0.1809013523480087,-0.4983214131112523,-0.4983214131112523,-0.4983214131112522,-0.5044259236605,0.750562281858947,0.6880108593186478,1.0,0.8741693088426068,-0.6021892411798451,0.3221653729185449,-0.5070465387663057,-0.04144634352441897,0.1523341331466103,-0.4033487886685557,-0.029315882911132685
bc,0.012887950565688413,0.0021653227558349948,0.04354429746670615,0.003121671248577953,0.12551844555901767,0.01472926252886224,0.18322416999792948,-0.43644744058340296,0.3451556731816638,-0.16788185405470682,-0.04125720557003894,-0.11519775001029389,-0.007156109523963305,-0.22558179994270366,-0.17152142640391937,-0.4331978799563153,-0.4331978799563153,-0.4331978799563153,-0.4382826393633834,0.7753480430816282,0.7021173322190442,0.8741693088426068,1.0,-0.610718691148743,0.23231990247782627,-0.4213109459602417,-0.038089171305225177,0.15615945039723247,-0.3748145061920443,-0.09290158148430178
o3,0.002506777038596041,-0.003568698741029269,-0.0066940504872502185,0.04251686853720461,-0.29054896523824814,-0.012720171801227843,-0.5705680150585325,0.2801542258959369,-0.4846335407316683,0.30630572282927343,-0.006978870683091727,-0.027671420552510557,0.08014517386039717,0.24332828171209525,0.3128218050830796,0.5581062971039572,0.5581062971039572,0.5581062971039575,0.5560658615199616,-0.41172879603392293,-0.20684060025283155,-0.6021892411798451,-0.610718691148743,1.0,-0.11221941577981759,0.5017116818038609,-0.0019106893133986498,-0.4254297727184761,0.20004802753189285,-0.13669936568104382
air_pressure,-0.05954303573296407,0.0025262969113302933,0.04825954199347746,-0.008878631479443164,-0.3200648232497122,0.09214890298695984,-0.15161963496151057,-0.18427063027544194,-0.07819173480107408,0.08648377428178942,-0.11402440154896348,-0.2608333000935898,0.09827311957054297,-0.11636059267576117,0.08458666967805481,-0.05132084062161873,-0.05132084062161873,-0.051320840621618555,-0.057290233016476726,0.33383676760037523,0.35590815572790246,0.3221653729185449,0.23231990247782627,-0.11221941577981759,1.0,-0.06129885774095864,-0.08937255459086813,-0.12394440162276738,-0.3801529127953335,-0.11212076487903343
air_temperature,0.11447264740823619,0.08442855673217924,0.0023712710774400404,0.04459009333283689,0.22801789580917164,-0.018595145271532266,-0.4689186649244563,0.8320072833608475,-0.67834792277881,0.39379871469529215,-0.009820685085640454,-0.0035255545223840993,0.0772209399180739,-0.0459137546003199,0.41409673003065445,0.9345042938865196,0.9345042938865196,0.934504293886519,0.9376769289538635,-0.4597549384472758,-0.2390820961280024,-0.5070465387663057,-0.4213109459602417,0.5017116818038609,-0.06129885774095864,1.0,0.0006504520191712719,-0.4030513350391661,-0.0818313527314575,-0.012692624664656038
precipitation,0.014665504152246805,-0.0058618238589615065,0.0043957694843085255,-0.0006101615980754555,0.02667282706072115,0.004427353324130341,0.04794243461018588,0.05357047657088723,-0.01224808053493782,-0.010057060044135252,0.08424131673605002,0.06423058199714453,-0.0061251346017144725,0.027854565361865372,-0.007617222679029566,0.01201823599616177,0.01201823599616177,0.01201823599616175,0.013025308532276991,-0.03786784027006992,-0.052103297680203414,-0.04144634352441897,-0.038089171305225177,-0.0019106893133986498,-0.08937255459086813,0.0006504520191712719,1.0,0.07132407879510819,0.037850560765006244,0.023041470023422425
relative_humidity,-0.1750544446947881,-0.1443569210683078,0.004375841258619833,0.053898767280650385,0.14406417441053077,-0.017660612830382755,0.68590516937107,0.053176021097651745,0.3413538135771126,-0.3441530552819983,0.0777705856953216,0.1478672729900483,-0.1350796182071118,-0.16446465932709872,-0.3701657792723345,-0.3733386243675085,-0.3733386243675085,-0.3733386243675085,-0.36461706841643066,0.12429499388372851,-0.016164132263631864,0.1523341331466103,0.15615945039723247,-0.4254297727184761,-0.12394440162276738,-0.4030513350391661,0.07132407879510819,1.0,-0.01058536038649819,0.049475586040297594
wind_speed,0.06032061478751855,0.0511927447438006,0.042474823431984804,-0.027094043235781004,-0.04101199168374851,0.04205040427172859,0.022383529971036795,-0.03380294828709765,0.1631777577950701,-0.037341712602622056,0.05528358045960976,0.11404716053094792,-0.026200023924139223,0.4326958111451057,-0.021964845889260738,-0.04766321692058346,-0.04766321692058346,-0.04766321692058336,-0.043607226992318664,-0.3084676616836873,-0.3415441312470851,-0.4033487886685557,-0.3748145061920443,0.20004802753189285,-0.3801529127953335,-0.0818313527314575,0.037850560765006244,-0.01058536038649819,1.0,0.049970963259408474
wind_direction,-0.005426223730555492,-0.02959848888655977,0.04150298093984332,-0.05827793563885425,-0.013625106625977788,0.009260392672521836,0.22495039744582113,0.10593053352786476,0.08698499275146529,-0.009083151528652338,0.03540819465640221,0.11217008638428816,-0.22513254357880935,0.025005064972675704,-0.011731483670077775,-0.053558564346679334,-0.053558564346679334,-0.05355856434667937,-0.0513644638282492,-0.2345964777499582,-0.27202642473273175,-0.029315882911132685,-0.09290158148430178,-0.13669936568104382,-0.11212076487903343,-0.012692624664656038,0.023041470023422425,0.049475586040297594,0.049970963259408474,1.0
